target_id,repo,file,line,containing_type,method,receiver_type,kind
aspnetcore:0127,aspnetcore,src/Hosting/Hosting/src/Internal/ConfigureBuilder.cs,26,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,CreateScope,System.IServiceProvider,Extension
aspnetcore:0128,aspnetcore,src/Hosting/Hosting/src/Internal/ConfigureBuilder.cs,42,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0129,aspnetcore,src/Hosting/Hosting/src/Internal/HostingLoggerExtensions.cs,40,Microsoft.Extensions.Logging.LoggerExtensions,LogCritical,Microsoft.Extensions.Logging.ILogger,Extension
aspnetcore:0130,aspnetcore,src/Hosting/Hosting/src/Internal/HostingLoggerExtensions.cs,50,Microsoft.Extensions.Logging.LoggerExtensions,LogWarning,Microsoft.Extensions.Logging.ILogger,Extension
aspnetcore:0131,aspnetcore,src/Hosting/Hosting/src/Internal/StartupLoader.cs,151,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0132,aspnetcore,src/Hosting/Hosting/src/Internal/StartupLoader.cs,159,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0133,aspnetcore,src/Hosting/Hosting/src/Internal/StartupLoader.cs,175,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0134,aspnetcore,src/Hosting/Hosting/src/Internal/StartupLoader.cs,219,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0135,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,68,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
aspnetcore:0136,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,71,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
aspnetcore:0137,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,73,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
aspnetcore:0138,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,130,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0139,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,135,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0140,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,136,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0141,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,141,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0142,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,142,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0143,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,143,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0144,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,144,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0145,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,145,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0146,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,190,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
aspnetcore:0147,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,210,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0148,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,214,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
aspnetcore:0149,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,235,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0150,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,246,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0151,aspnetcore,src/Hosting/Hosting/src/Internal/WebHost.cs,260,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0152,aspnetcore,src/Hosting/Hosting/src/WebHostBuilder.cs,176,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
aspnetcore:0153,aspnetcore,src/Hosting/Hosting/src/WebHostBuilder.cs,178,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0155,aspnetcore,src/Hosting/Hosting/src/WebHostBuilder.cs,289,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0156,aspnetcore,src/Hosting/Hosting/src/WebHostBuilder.cs,333,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetRequiredService,System.IServiceProvider,Extension
aspnetcore:0157,aspnetcore,src/Hosting/Hosting/src/WebHostBuilder.cs,356,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
aspnetcore:0158,aspnetcore,src/Hosting/Hosting/src/WebHostBuilder.cs,360,Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions,GetService,System.IServiceProvider,Extension
