target_id,repo,kind,receiver_type,receiver_family,method,transform,applicable,applied,reverted,build_ok,reason,reason_token,n_files_changed,seam_member_signature
jellyfin:0165,jellyfin,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogError,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
jellyfin:0194,jellyfin,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogError,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
jellyfin:0245,jellyfin,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogError,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
jellyfin:0247,jellyfin,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
jellyfin:0264,jellyfin,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogInformation,parameterize_dependency,False,False,False,,site_not_found,site_not_found,0,
server:0009,server,Extension,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,IServiceScopeFactory,CreateAsyncScope,parameterize_dependency,False,False,False,,baseline_build_failed,baseline_build_failed,0,
server:0015,server,Extension,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,IServiceScopeFactory,CreateAsyncScope,parameterize_dependency,False,False,False,,baseline_build_failed,baseline_build_failed,0,
server:0018,server,Extension,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,IServiceScopeFactory,CreateAsyncScope,parameterize_dependency,False,False,False,,baseline_build_failed,baseline_build_failed,0,
server:0021,server,Extension,Microsoft.Extensions.DependencyInjection.IServiceScopeFactory,IServiceScopeFactory,CreateAsyncScope,parameterize_dependency,False,False,False,,baseline_build_failed,baseline_build_failed,0,
server:0053,server,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,parameterize_dependency,False,False,False,,baseline_build_failed,baseline_build_failed,0,
server:0067,server,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,parameterize_dependency,False,False,False,,baseline_build_failed,baseline_build_failed,0,
server:0082,server,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogDebug,parameterize_dependency,False,False,False,,baseline_build_failed,baseline_build_failed,0,
server:0083,server,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,parameterize_dependency,False,False,False,,baseline_build_failed,baseline_build_failed,0,
server:0087,server,Extension,Microsoft.Extensions.Logging.ILogger,ILogger,LogWarning,parameterize_dependency,False,False,False,,baseline_build_failed,baseline_build_failed,0,
