phase,model,run,attempts_total,non_submitted_total,category,count,infra_bucket
phase2-agentic,llama-3.3-70b-instruct,3,300,44,server-5xx,0,1
phase2-agentic,llama-3.3-70b-instruct,3,300,44,api-version-unsupported,0,1
phase2-agentic,llama-3.3-70b-instruct,3,300,44,baseline_compile_failed,0,0
phase2-agentic,llama-3.3-70b-instruct,3,300,44,baseline_no_owning_csproj,0,0
phase2-agentic,llama-3.3-70b-instruct,3,300,44,max-turns-exhausted,0,0
phase2-agentic,llama-3.3-70b-instruct,3,300,44,context-length,0,0
phase2-agentic,llama-3.3-70b-instruct,3,300,44,content-filter,0,0
phase2-agentic,llama-3.3-70b-instruct,3,300,44,invalid-prompt,0,0
phase2-agentic,llama-3.3-70b-instruct,3,300,44,adapter-parse-error,1,0
phase2-agentic,llama-3.3-70b-instruct,3,300,44,other,0,0
phase2-agentic,phi-4,1,300,17,timeout/connection,0,1
phase2-agentic,phi-4,1,300,17,auth/access,0,1
phase2-agentic,phi-4,1,300,17,rate-limit,0,1
phase2-agentic,phi-4,1,300,17,server-5xx,0,1
phase2-agentic,phi-4,1,300,17,api-version-unsupported,0,1
phase2-agentic,phi-4,1,300,17,baseline_compile_failed,0,0
phase2-agentic,phi-4,1,300,17,baseline_no_owning_csproj,0,0
phase2-agentic,phi-4,1,300,17,max-turns-exhausted,16,0
phase2-agentic,phi-4,1,300,17,context-length,0,0
phase2-agentic,phi-4,1,300,17,content-filter,1,0
phase2-agentic,phi-4,1,300,17,invalid-prompt,0,0
phase2-agentic,phi-4,1,300,17,adapter-parse-error,0,0
phase2-agentic,phi-4,1,300,17,other,0,0
phase2-agentic,phi-4,2,300,19,timeout/connection,0,1
phase2-agentic,phi-4,2,300,19,auth/access,0,1
phase2-agentic,phi-4,2,300,19,rate-limit,0,1
phase2-agentic,phi-4,2,300,19,server-5xx,0,1
phase2-agentic,phi-4,2,300,19,api-version-unsupported,0,1
phase2-agentic,phi-4,2,300,19,baseline_compile_failed,0,0
phase2-agentic,phi-4,2,300,19,baseline_no_owning_csproj,0,0
phase2-agentic,phi-4,2,300,19,max-turns-exhausted,19,0
phase2-agentic,phi-4,2,300,19,context-length,0,0
phase2-agentic,phi-4,2,300,19,content-filter,0,0
phase2-agentic,phi-4,2,300,19,invalid-prompt,0,0
phase2-agentic,phi-4,2,300,19,adapter-parse-error,0,0
phase2-agentic,phi-4,2,300,19,other,0,0
phase2-agentic,phi-4,3,300,17,timeout/connection,0,1
phase2-agentic,phi-4,3,300,17,auth/access,0,1
phase2-agentic,phi-4,3,300,17,rate-limit,0,1
phase2-agentic,phi-4,3,300,17,server-5xx,0,1
phase2-agentic,phi-4,3,300,17,api-version-unsupported,0,1
phase2-agentic,phi-4,3,300,17,baseline_compile_failed,0,0
phase2-agentic,phi-4,3,300,17,baseline_no_owning_csproj,0,0
phase2-agentic,phi-4,3,300,17,max-turns-exhausted,13,0
phase2-agentic,phi-4,3,300,17,context-length,4,0
phase2-agentic,phi-4,3,300,17,content-filter,0,0
phase2-agentic,phi-4,3,300,17,invalid-prompt,0,0
phase2-agentic,phi-4,3,300,17,adapter-parse-error,0,0
phase2-agentic,phi-4,3,300,17,other,0,0
